字段,值
url,https://detail.1688.com/offer/775610063728.html?offerId=775610063728&spm=a260k.home2025.recommendpart.18
timestamp,2025-08-27T13:21:25.730563
title,源头厂家玉石渐变色中式旗袍汉服扣子唐装国风衬衫毛衣铜脚纽扣
price,"['¥0.45\n已售4011粒', '¥0.52', '¥0.25']"
images,"[{'url': 'https://img.alicdn.com/imgextra/i4/O1CN01SU9YgY1vTk2sEzSbO_!!6000000006174-2-tps-20-12.png', 'alt': '', 'width': '10', 'height': '6'}, {'url': 'https://img.alicdn.com/imgextra/i2/O1CN016NLRwN1TPnJfbnqJF_!!6000000002375-2-tps-124-20.png', 'alt': '', 'width': '62', 'height': '10'}, {'url': 'https://img.alicdn.com/imgextra/i2/O1CN01GnlVwr1LSzE0ENLxk_!!6000000001299-2-tps-134-28.png', 'alt': '', 'width': '67', 'height': '14'}, {'url': 'https://img.alicdn.com/imgextra/i1/O1CN01thybfi29zFue76Xo9_!!6000000008138-2-tps-32-48.png', 'alt': '', 'width': '16', 'height': '24'}, {'url': 'https://img.alicdn.com/imgextra/i3/O1CN01tOiNgL1rd7ymUJ9N1_!!6000000005653-2-tps-40-23.png', 'alt': '', 'width': '10', 'height': '5'}, {'url': 'https://img.alicdn.com/imgextra/i3/O1CN011Awjsy1QH90HZCSqZ_!!6000000001950-2-tps-22-38.png', 'alt': '', 'width': '9', 'height': '17'}, {'url': 'https://img.alicdn.com/imgextra/i4/O1CN01SSxwRB1oD4HJCgfqd_!!6000000005190-2-tps-48-48.png', 'alt': '', 'width': '22', 'height': '22'}, {'url': 'https://img.alicdn.com/imgextra/i2/6000000004645/O1CN01dqsc2s1kBSfFoVu1c_!!6000000004645-0-tbvideo.jpg', 'alt': '', 'width': '58', 'height': '58'}, {'url': 'https://cbu01.alicdn.com/img/ibank/O1CN01tiYmLS2MdMBZe8l5V_!!1985689850-0-cib.jpg', 'alt': '', 'width': '58', 'height': '58'}, {'url': 'https://img.alicdn.com/imgextra/i4/O1CN01SSxwRB1oD4HJCgfqd_!!6000000005190-2-tps-48-48.png', 'alt': '', 'width': '22', 'height': '22'}]"
supplier,
specifications,"{'粉加绿10MM': '16L=10.0 MM', '粉加蓝10MM': '16L=10MM', '紫加绿10MM': '16L=10.0 MM', '蓝加黄10MM': '16L=10.0 MM', '蓝加咖10MM': '16L=10.0 MM', '橘加蓝10MM': '16L=10.0 MM', '橘加绿10MM': '16L=10.0 MM', '水墨色10MM': '16L=10.0 MM', '深蓝加咖10MM': '16L=10.0 MM', '玫红加灰10MM': '16L=10.0 MM', '绿加蓝10MM': '16L=10.0 MM', '绿加黄10MM': '16L=10.0 MM', '粉加黄10MM': '16L=10.0 MM'}"
description,"视频展示
商品描述
































价格说明
【平台活动下价格】
活动前价格：（1）非分销场景下，指平台活动（不含分销场景的活动）预热期（若无预热期，则为爆发期）前的商品销售价格；（2）分销场景下，专指分销活动预热期（若无预热期，则为爆发期）前的商品销售价格。
前述价格未计算平台发放的各种采购津贴、跨店券、红包等优惠，未计算商家设置的满减优惠、优惠券、店铺返利金、店铺会员折扣以及L会员价、商家设置的指定人群单品优惠活动等各种优惠；该价格会计算其他非平台活动下的各种优惠（包括商家自行设置的非指定人群的单品优惠等，最终以商家的自行设置为准）。前述商品销售价格指商品页面当日展示的标价；若当日商家多次调整销售价格的，取当日最后展示的销售价格。
【非平台活动下价格】
划线价格：指商家自营销活动场景下的商品价格，该价格不包含平台的各种优惠活动。可能是商品的销售指导价或该商品的曾经展示过的销售价等，并非原价，仅供参考。
未划线价格：商品在1688平台上由商家自行设置的销售标价，具体的成交价格根据商家设置的各种优惠活动发生变化，最终以订单结算页价格为准。
【发布价】
指商品在1688平台上由商家自行设置的销售标价并叠加L会员价折扣后的价格，并非原价，仅供参考。
*注：
1、前述说明仅适用于价格比较下的场景。
2、活动前的时间通常为预热期/爆发期的前一天，但因数据的延迟性，取价时间可能会发生改变，最终以前述展示的具体时间和所对应的商品价格为准。"
moq,
contact_info,{}
